"source","name","year","rank","round","height","weight","school","college_abbreviation","pros","cons","verdit","pre_draft_analysis","post_draft_analysis","ranking","player_score","position","grade","pts_total","pts_per40","reb_total","reb_per40","ast_total","ast_per40","efg","fga","stl_total","stl_per40","blk_total","blk_per40","tpt","tpa","ft","fta","ts","ts_att","main_selling_point","age","wingspan","standing_reach","similar_player","profile","analysis","projection","date_of_birth","hometown","high_school","rebounding","potential","post_skills","intangibles","international_team","athleticism","size","defense","strength","quickness","leadership","jumpshot","nba_ready","mock_draft_rank","big_board_rank","overall_rank"
"ESPN","Brice Sensabaugh",2023,NA,NA,NA,NA,"Ohio State","OSU",NA,NA,NA,"March 9, 2023 At 5-15 in Big Ten play, Ohio State is in the midst of its worst season in 25 years. That's something NBA scouts will certainly weigh when evaluating the gaudy scoring production of super freshman Sensabaugh, who has hit a wall over the past 10 games from an efficiency standpoint, shooting 30% for 3 and 50% inside the arc. Even with Sensabaugh's recent struggles, he's still the second-most-prolific per-minute scorer in college basketball among projected draft picks, trailing only runaway National Player of the Year favorite Zach Edey. Sensabaugh has a clear case to be considered the best perimeter shooter in this draft in terms of volume and accuracy (42% 3P%) and is far from being just a shooter, also showing quite a bit of potential in the pick-and-roll, when creating one-on-one and as a post-scorer; he's capable of putting the ball in the basket from anywhere on the floor. The biggest questions revolve around his defense, where he's stuck between positions as a 6-6 power forward with average length, a husky frame and inconsistent intensity and awareness that causes him to be frequently targeted and scored on by opponents. As the No. 13 seed in the loaded Big Ten tournament, just advancing another day or two would be considered a major success for the Buckeyes, something Sensabaugh will play a large role in on both ends of the floor. How much progress Sensabaugh can make with his body during the pre-draft process (assuming he elects to enter the draft) will be even more crucial, as NBA teams want to see him get in much better shape to take him as seriously as his outstanding scoring production suggests they should. -- Jonathan Givony Dec. 27, 2022 At 29 points per 40 minutes, Sensabaugh isn't just the best per-minute scorer in this freshman class, he's one of the most dangerous offensive players in college basketball. After initially limiting his playing time because of defensive concerns, Ohio State inserted him into its starting lineup earlier this month. He had his best performance of the season at the CBS Sports Classic at Madison Square Garden, where NBA executives saw him explode for 22 points, eight rebounds and three assists against North Carolina, including the potential game-winning shot over one of the best defenders in the country in 23-year-old Leaky Black. Sensabaugh doesn't look like a potential one-and-done prospect at first glance as he's undersized for the power forward position he often plays at 6-6 with wide hips, thick legs and average length. He clearly needs to continue to improve his conditioning, something he has started to address since leading the Nike EYBL in per-minute scoring at 38.5 points per 40 minutes in summer 2021. But he's a better athlete than he gets credit for, possessing impressive body control and some underrated explosiveness as a finisher around the basket. Sensabaugh is an elite perimeter shooter, converting 49% of his 3-point attempts this season. He's dynamic with his shot-making ability, showing the ability to hit pull-up jumpers, relocate off shot fakes for difficult side-step attempts, and he has a quick release and polished footwork getting into spot-up 3-pointers. He's also capable of creating offense for himself in the post, elevating in midrange spots or attacking the rim aggressively with his strong frame and solid ballhandling ability. After looking somewhat like a black hole early in the season, Sensabaugh has shown some passing chops in small doses, posting 10 assists in his past two games after generating just two assists in the first month of the season. Defensively is where the biggest questions remain, as Sensabaugh often looks lost off the ball, rarely gets in a defensive stance, shows bad closeout technique and gets scored on frequently in the post. His lack of size, length and quickness is an issue, but so is his lack of intensity. He generates very few steals, blocks or rebounds to complement his incredible scoring prowess. He has struggled with foul trouble in some of the toughest games he has played in thus far, something that could be a bigger issue now that he's receiving starting-caliber minutes going into Big Ten play. -- Jonathan Givony","This pick felt the most likely of the Jazz's three first-rounders to move going into draft night, with Utah in position to add quality players at 9 and 16. It appears they are keeping it, however. Player fit Sensabaugh saw his stock slip a bit over the course of the pre-draft process due in part to concerns around his health and conditioning -- a knee issue ended his season at Ohio State early that limited what he could do in workouts, falling in line with a history of knee injuries dating back to high school. He's one of the more gifted scorers in the draft, with a smooth jumper and great instincts creating his shot, but isn't much of a defender at this point. If Sensabaugh can get his body right, this could be a strong value for the Jazz. -- Jeremy Woo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ESPN","Julian Strawther",2023,NA,NA,NA,NA,"Gonzaga","GONZ",NA,NA,NA,NA,"The Nuggets steamrolled through the NBA playoffs to win the franchise's first championship, with a roster built to keep winning for the next several years thanks to shrewd scouting, drafting, trades, free agent acquisitions and cap management. The constraints of the luxury tax seems to be the only thing that could hold back the franchise from being a dominant presence in the West provided good health, which is why the front office pulled off several moves in the lead-up to the draft in hopes of acquiring young talent who can help keep their bench units competitive long-term. Player fit While he was more than simply a specialist in college, Strawther's shooting ability is going to be his calling card in the NBA, having proven it at Gonzaga, where he steadily improved and hit 40.5% from 3 on more than five attempts per game last season. Continuing to refine his shooting will be his best chance to stick. -- Jeremy Woo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ESPN","Kobe Brown",2023,NA,NA,NA,NA,"Missouri","MIZ",NA,NA,NA,"March 14, 2023 Brown emerged as one of the most skilled and productive big men in college as a 23-year-old senior, surprisingly leading Missouri to a No. 7 seed in the NCAA tournament. Brown doesn't look like a high-level NBA prospect at first glance, being undersized and needing to improve his frame. His skill level very much suits the modern NBA, though, as a 45% 3-point shooter who initiates quite a bit of offense for Missouri pushing off the defensive glass and operating in the mid and high post thanks to his strong feel for the game. He is a good ball handler, deft passer and dynamic shot-maker in addition to being a real mismatch with his strength, skill and versatility, having guard skills despite playing mostly at center with his powerful frame. Brown's defense will be heavily scrutinized by NBA teams, as he doesn't have great length for a 5, doesn't cover ground very well on an island to guard better 4s and is just an average rebounder. NBA teams will want to get a better feel for Brown during the pre-draft process, and continuing to build momentum in the NCAA tournament certainly wouldn't hurt his draft stock.-- Jonathan Givony ","This pick was nearly traded from the Clippers to the Wizards on Wednesday before a three-team deal involving the Clippers, Wizards and Celtics fell apart. (That deal took place with Memphis as the third team, instead of LA). So the Clippers entered the night sitting here at 30 after all, thought to be eyeing an array of wing players that could fall to the back of the first round. Player fit Brown enjoyed a strong year at Missouri, making strides as a shooter and showcasing his toughness and versatility over the course of a winning season for his team. He piqued NBA interest as a result, with teams always hunting for glue guys who can make shots, pass, and contribute on the glass. There are some concerns about Brown's heavier body type and defensive contributions -- he's active but a bit slow-footed. He offers a lot to like at this point in the draft, if not a ton of upside. -- Jeremy Woo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ESPN","James Nnaji",2023,NA,NA,NA,NA,"Nigeria","Nigeria",NA,NA,NA,"Feb. 4, 2023 Playing for Barcelona, currently in first place in the Spanish ACB and third in the EuroLeague, minutes haven't been easy to come by for 18-year-old Nnaji in his team's stacked frontcourt rotation. Two recent starting nods in domestic league play have allowed NBA scouts to get a deeper look at the chiseled 6-11 Nigerian with a 7-4 wingspan, and he responded by posting 32 points and eight rebounds in 43 minutes of action on near-perfect 13-for-14 shooting, leaving one to wonder how productive he would be in a situation with more consistent playing time. Nnaji's virtues are readily obvious at first glance, as he's one of the most physically gifted prospects in this draft class, blessed with incredible quickness getting off his feet for dunks and blocks, and outstanding mobility running the floor and covering ground defensively. He draws quite a few fouls with his enviable combination of speed, power and explosiveness, putting pressure on opposing defenses every time he rolls to the basket and offering a significant vertical spacing target with his improving hands and huge catch radius. Nnaji is also making subtle improvement as the season continues with his passing and ability to take slower defenders off the dribble in a straight line with huge strides, things that are very much a work in progress due to his average skill level but are still encouraging to see considering his lack of experience. Nnaji only started playing basketball in July 2016 and moved to Ratgeber Basketball Academy in Hungary off a Facebook post he made following the Giants of Africa camp in 2018. He spent two years in Hungary before moving to Barcelona in August 2020, progressing through the ranks of their junior teams and the Spanish fifth division to carve out the role he has now. Nnaji's processing speed and awareness on both ends of the floor are still a work in progress, but the fact that he can make the impact he does on both ends of the floor mostly off his tools gives him plenty of upside to grow into as the game slows down for him. With his minutes likely to be inconsistent for the remainder of the season and Barcelona's schedule through the month of June likely preventing him from conducting private workouts with NBA teams, getting a firm handle on Nnaji's draft stock won't be easy, but he's done well to solidify his candidacy as a first-round prospect with the opportunities he's received thus far. -- Jonathan Givony Nov. 7, 2022 Competing at a higher level than any prospect in this draft class, minutes haven't always been easy to come by for Nnaji in the EuroLeague and Spanish ACB with Barcelona, one of the best teams in European basketball. After not playing in many of its first games, the past five contests have seen a steady uptick in opportunities for Nnaji (averaging 13 minutes), which has coincided with small but steady improvement that has to be considered promising for NBA scouts monitoring his progress as he enters his first year of draft eligibility. Nnaji is one of the most physically gifted players in this class, blessed with a chiseled frame even by NBA standards and quickness covering ground and getting off his feet for offensive rebounds, dunks and blocks. While those areas constitute the bulk of his intrigue and are highly in demand for a role-playing center tasked with anchoring a defense and finishing plays after being spoon-fed around the basket, he has shown some minor flashes to suggest there's more there. Nnaji had several strong drives in a EuroLeague game against Milan last week that you wouldn't expect to see from a raw big man in his mold, taking former NBA player Brandon Davies off the dribble from beyond the 3-point line and finishing with an impressive slow-down move after getting to the rim off a single dribble thanks to his long, powerful strides. He also has utilized shot fakes, flip shots and off-hand hooks that weren't in his repertoire at this point last season. And he has made some simple passes out of the post, which is encouraging to see considering how limited he was previously. Nnaji still crushes the rim every time he catches the ball in the vicinity of the basket with his incredible power elevating off two feet. And he is a major presence setting screens and rolling to the rim out of the pick-and-roll, even if he isn't quite as reliable catching lobs considering his projected role due to his just decent hands and awareness tracking balls in the air. He still has a long way to go before he can be considered a real offensive player -- as evidenced by his career 44% free throw rate, which hasn't improved this season. He is very mistake-prone at times, being called for moving screens, blatant push-offs and other unforced errors. And it's generally an adventure anytime he needs to make a decision with the ball, so we'll have to see how his recent uptick in productivity translates for the rest of the season. Where Nnaji could be special is on the defensive end; he makes a huge impact with his combination of length, strength and mobility, especially switching onto guards on the perimeter, sliding his feet and being extremely difficult to shoot over. He turns his hips exceptionally well to cover ground, get back into plays and protect the rim, averaging an excellent 3.3 blocks per 40 minutes in the EuroLeague and ACB, which makes him one of the best players in both leagues in that category so far this season. He has room to grow here too, especially with his reaction time, technique and processing speed, which at times put him behind on plays both in getting schooled one-on-one by older and wilier players and being late and out of position more than you'd like to see off the ball. He is not a good defensive rebounder and is a little more mistake-prone than you'd like, but the intensity he plays with, the exceptional physical ability he possesses and the way he covers ground and gets off his feet for blocks already makes him a significant deterrent at this level of competition, which is extremely impressive considering his lack of experience. Overall, Nnaji seems to be making slow but steady progress, and it's no surprise he is seeing an uptick in minutes considering the way he impacts the game on both ends of the floor. There are only a handful of players in this draft who would have a chance to see playing time for Barcelona coach Sarunas Jasikevicius and hold their own in the highly tactical EuroLeague and ACB, and it's certainly possible that the more unscripted and free-flowing NBA game could actually suit Nnaji much better. -- Jonathan Givony Oct. 4, 2022 Nnaji has seen just six total minutes of action for Barcelona in their first four cup and league games, as he's currently buried on their depth chart behind some of the best big men in Europe in Jan Vesely, Mike Tobey, Sertac Sanli and Oscar da Silva. Should the situation continue, a loan to a smaller ACB team might be the ideal situation for Nnaji to get playing time and show why he's deemed to have lottery-level upside with his outstanding physical tools, shot-blocking and finishing ability, but it's not clear how quickly Barcelona would be willing to let him go considering the energy and physicality he brings to practice daily. -- Jonathan Givony May 7, 2022 Nnaji is arguably the most NBA-ready prospect in this class from a physical perspective, standing 6-10, 245 pounds with a huge 7-7 wingspan and the type of frame that would make even a powerful big like Isaiah Stewart proud. He also has similar measurements to a young Bismack Biyombo. After a rapid ascension from Nigeria to Hungary and now to Barcelona, Nnaji was a surprise success for the Spanish powerhouse this season, logging over 150 Euroleague and Spanish ACB minutes in his debut season under hard-nosed head coach and former NBA guard ar&#363;nas Jasikevi&#269;ius. Nnaji is still improving his offensive decision-making, perimeter defense and ability to play without fouling, but he's an elite offensive rebounder, an excellent rim-protector (4 blocks per 40 minutes in ACB play) and the type of highly regarded worker who should continue to improve. While his ceiling might be limited somewhat by his shortcomings as a half-court scorer or offensive hub, he has a clear role as an offensive-rebounding, shot-blocking center who has the agility to eventually add value defending the perimeter, as we've seen from Stewart with the Pistons. -- ESPN Jan. 21, 2022 The best international big in this class (after Wembanyama) is Barcelona's James Nnaji, a Nigerian-born center who wasn't considered an NBA prospect less than two years ago playing in Hungary yet is now earning minutes for a club that rarely hands them out to young prospects. At 6-10, 245 pounds with a reported 7-7 wingspan, huge hands and impressive mobility, Nnaji sports one of the most impressive physical profiles you'll see from any big-man prospect, with dimensions comparable to Bismack Biyombo. He's already putting his tools to good use, recently scoring 10 points, grabbing 5 rebounds and swatting 5 shots in 19 minutes in his ACB debut. We saw him live against Efes in Euroleague action, where he more than held his own in a limited role for the first place Spanish powerhouse. Nnaji is a high-energy rebounder with the motor and physicality of Isaiah Stewart yet far more potential as a rim protector and pick-and-roll defender. -- ESPN","After initially moving up to No. 25 from No. 35 in the Kristaps Porzingis deal, Boston grabbed this pick from Detroit in trading back off of No. 25 for future second-round picks. Then, they traded the pick again, moving back with Charlotte to acquire Nos. 34 and 39.  Player fit Nnaji has an NBA-ready frame that might allow him to excel as a rim-running center in the modern game. He's not particularly skilled, but will come over from Barcelona with high-level experience in Europe and will have a physical advantage over some opponents immediately. He's still a bit of a project, but it won't be a surprise if he becomes a productive rebounder, finisher and shot-blocker moving forward. -- Jeremy Woo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ESPN","Jalen Pickett",2023,NA,NA,NA,NA,"Penn State","PSU",NA,NA,NA,NA,"The Nuggets traded up earlier in the week to get this pick and No. 29 from the Pacers.Player fit Pickett quietly drew strong interest from teams in the pre-draft process, with rumors circulating for weeks about him having a potential promise in the second round, so this isn't a surprise to see him come off the board here. He comes in ready to play as a potential backup following an excellent senior year at Penn State, where he flew somewhat under the radar. -- Jeremy Woo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ESPN","Leonard Miller",2023,NA,NA,NA,NA,"Canada","Canada",NA,NA,NA,"May 24, 2022 As the youngest player currently projected to be drafted, not turning 19 until late November, Miller's lack of experience was evident in his two games at the NBA combine, where he shot just 7-of-18 from the field and looked a step slow with his decision-making and off-ball awareness defensively. Miller is using the pre-draft process to learn what he needs to work on to become the high-level player his sky-high potential suggests, and he walked out of Chicago with a long list of things he'll have to improve on long-term. None of this should be a surprise considering Miller was a 6-5, non-shooting guard just a few years ago, before hitting a late growth spurt and blossoming into a five-star-caliber prospect as a high school senior. Unlikely to secure the first-round assurances he's seeking, Miller will now likely be picking between attending college at Arizona and spending a year in the G League Ignite program. -- Jonathan Givony Apr. 21, 2022 Miller, who just finished a postgraduate year at Fort Erie International Academy in Canada, is still debating his next move -- the options include enrolling in college (Kentucky or Arizona), or signing with G League Ignite. He's also strongly considering entering his name in the 2022 NBA draft to see where he stands with teams and whether he can land assurances he'll hear his name called in the first round. Two quick fouls in the first two minutes limited Miller to just 18 minutes of action at the Hoop Summit, in which he was still able to score 11 points and grab five rebounds. Miller had a strong week of practice, looking like the best prospect on the World Team every time he stepped on the floor, especially considering he measured 6-11 in shoes with a 7-2 wingspan and 9-foot standing reach, which could even allow him to see some minutes as a small-ball center down the road as his frame fills out. Growing 6 inches over the past three years, Miller has clear guard skills, averaging over 30 points per game this season while showing tantalizing shot-making ability from all over the floor. He puts non-stop pressure on opposing defenses with his herky-jerky style, sniffing out plenty of baskets pushing or leaking out in the open court, off strong cuts and via the offensive glass. Miller's lack of strength and experience in high-level settings shows at times, as his shot selection can be questionable and his unorthodox shooting mechanics lead to varying results. It's clear that Miller is an NBA talent, as 18-year-olds with his size, length, scoring instincts and potential defensive versatility don't grow on trees, but it seems like a year in college or at the pro level could certainly help ease the significant transition he's about to undergo in coming from the Ontario Scholastic Basketball Association, which he was able to dominate without much resistance. -- Jonathan Givony","The Timberwolves acquired this pick from the Spurs on draft night for future second-rounders, giving them two picks in this year's second round. Player fit Miller took an estimable step forward in the G League last season, turning himself into a highly productive box score player and starting to harness his considerable physical gifts. It turned out teams weren't entirely sold on his profile, as reflected by his fall here. But Miller still offers a lot of tools to develop, with great length and some inside-out versatility at forward. He needs to refine his shooting and decision-making, and it may take him some time to see the floor in the NBA, but there just aren't that many athletes with his type of size, movement and basic skill set, which makes him a nice swing later in the draft. -- Jeremy Woo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ESPN","Colby Jones",2023,NA,NA,NA,NA,"Xavier","XAV",NA,NA,NA,"March 14, 2023 Jones turned himself into one of the most well-rounded players in college as a young junior, propelling Xavier to an outstanding season while emerging as an All-Big East player. Tasked with defending point guards through power forwards, while shouldering significant playmaking responsibilities, Jones' versatility and feel for the game are well-suited for the NBA, especially now that he has become a 38% 3-point shooter. His average explosiveness and at times shaky free throw shooting (64%) are two questions NBA teams have, and he is generally the type of prospect whose resume is built more around productivity and winning than incredible upside, meaning taking his team on a deep tournament run could be highly beneficial to cement his candidacy.-- Jonathan Givony Dec. 1, 2022 Xavier's Colby Jones had a breakout performance at the PK85 tournament, averaging 18 points, six rebounds and five assists while shooting 9-for-10 from beyond the arc in three games. Entering the season a career 30% 3-point shooter, Jones had some questions to answer in that department, especially since he doesn't pop from a physical standpoint with his average size, length, frame and explosiveness. Jones started off the season cold, not making a single 3-pointer in his first three games, but was scorching in Portland, which is a significant development considering how many NBA decision-makers were in attendance. Jones' passing ability and all-around feel for the game are what really make him interesting as a prospect, as well as the toughness he displays defensively. If he can continue to show that his outside shooting is real, he'll have a chance to enter the conversation as a first-round prospect with the other intangibles he brings to the table.-- Jonathan Givony ","The Sacramento Kings traded up with the Boston Celtics for the No. 34 pick in Thursday's draft for the No. 38 pick and a future second-round pick.Player fitJones checks the right boxes as a complementary perimeter player, as an unselfish, big guard who makes good decisions and open shots, and can make plays for teammates. He's big enough to defend a couple different positions and overall looks like a versatile lineup cog. He isn't supremely flashy, but his game offers a lot of utility, particularly for teams that need him to play immediately. -- Jeremy Woo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ESPN","Julian Phillips",2023,NA,NA,NA,NA,"Tennessee","TENN",NA,NA,NA,"March 27, 2023 Phillips went scoreless in Tennessee's Sweet 16 exit at the hands of Florida Atlantic. Phillips lost his starting spot because of an ankle injury in mid-February and ended up playing just 46 minutes in the NCAA tournament over three games, scoring five points on 2-for-8 shooting. Phillips didn't have a very productive freshman season, struggling in a minor role to score with efficiency, shooting 47% inside the arc and 24% outside it. He doesn't have a consistent means of scoring, struggles to make open jumpers, lacks ballhandling ability and sees his best production via running in the open floor, crashing the offensive glass and cuts. But Phillips' positional size, length and frame give him some long-term upside, which could be intriguing enough for a second-round flier. He looks the part of a big-time small forward prospect and sometimes plays like it, too, bringing good energy crashing the offensive glass and showing some multi-positional defensive versatility with his intensity and physical tools. Workouts will play a key role in deciding how high in the second round Phillips could be picked, but there's a compelling case for him to return for another year in college.-- Jonathan Givony May 7, 2022 One of the only uncommitted one-and-done prospects in the country, Phillips is long and fluid at 6-7 with measurements similar to wings ranging from Jaden McDaniels to Terrance Ferguson to a young Herbert Jones. Although lean and wiry at this stage, the 18-year-old Phillips has the type of positional length and on-the-move shooting potential NBA teams generally look for in a teenage wing prospect. A Columbia, South Carolina, native, Phillips, who originally committed to LSU, led a strong Link Academy squad in scoring during three Geico High School Nationals games at 15.7 points in 25.7 minutes before falling to Whitehead, Lively and Montverde in the Finals. We couldn't get quite as extensive of a look at Phillips as other elite prospects since he didn't compete in the Nike Hoop Summit or Jordan Brand Classic, but from watching him at various high school events and studying his film, it's easy to see him generating lottery buzz depending on where he ultimately decides to spend his draft-eligible year. On top of his quickness, length and leaping ability, Phillips' shooting stroke is his most projectable NBA skill. He's comfortable rising into catch-and-shoot jumpers off pin-downs and staggers, while also elevating in midrange spots with sharp footwork. With that said, he's not all that physical of a finisher at this stage and is still searching for a more consistent defensive motor, despite having the tools to defend multiple perimeter spots and make plays off the ball. Overall, Phillips is one of the more intriguing non-lottery prospects in this class as he possesses several of the ingredients teams look for in an NBA wing. -- ESPN","The Wizards acquired this pick and Tyus Jones as the primary return in Wednesday's three-team deal that sent Kristaps Porzingis to Boston and Marcus Smart to Memphis. They then reportedly traded it to the Bulls, who entered the draft without any picks in hand. Player fit Phillips' freshman year at Tennessee was a bit underwhelming, but he does offer some things to like from a developmental perspective at 6-8 with a 6-11 1/2 wingspan and some capacity to shoot, finish plays and defend. Physically, he fits the prototype for wing forwards, but his actual game has a ways to go, and he doesn't project as much of an offensive option right now. He's far from a finished product, but will be a developmental investment for Boston, hoping they can turn him into a viable role player to start.-- Jeremy Woo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ESPN","Andre Jackson Jr",2023,NA,NA,NA,NA,"UConn","CONN",NA,NA,NA,"March 27, 2023 Jackson's virtues as an NBA prospect were on display in UConn's four-game run to the NCAA Final Four, with spectacular plays highlighting his explosive physical attributes and defensive versatility. He had 31 assists, 28 rebounds and a barrage of winning plays in key moments. Jackson's ability to ignite the break pushing in the open court and spray passes everywhere has factored into UConn's postseason success, as he regularly goes into the paint with outstanding speed to find shooters on the wing driving and kickout. He's a major connector in the half court with touch passes, lobs, dribble handoffs and timely cuts off the ball, especially when Gonzaga didn't guard him. Jackson's lack of perimeter shooting (28% from 3, 65% free throws), average ballhandling in the half court, and overall struggles as a scorer haven't been as much of an issue the past two weekends as they were at points in the regular season, where his team often looked like they were playing 5-on-4 with the way opponents ignored him off the ball. Players in this mold can be difficult to hide in the NBA, but UConn has done everything it can to accentuate Jackson's strengths the past few weeks, giving him a stronger case as a first-round pick. He still has the runway of the Final Four and a potential national championship to continue to build his resume. -- Jonathan Givony","The Bucks acquired the No. 36 pick in the draft from the Orlando Magic. Player fitJackson was one of the faces of UConn's championship run, and endeared himself to teams with his motor, smarts and playmaking ability. His draft prospects were hampered somewhat by his shooting struggles, as well as some medical concerns that contributed to his fall here. If he's able to stay healthy and make some strides catching and shooting, Jackson does a lot of other things well that could help him find a niche.-- Jeremy Woo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ESPN","Hunter Tyson",2023,NA,NA,NA,NA,"Clemson","CLEM",NA,NA,NA,NA,"The Nuggets acquired this pick in a deal with the Thunder on June 9th, trading a far-out protected first to OKC in exchange for No. 37, and 2024 first and second-round picks. Denver intends to prolong its title window as much as possible, and is prepared to rely on creative drafting to round out their roster alongside Nikola Jokic and Jamal Murray.  Player fit After standing out at G League Elite camp and earning a combine call-up, Tyson helped himself in the pre-draft process by showcasing his shooting ability and toughness at 6-8. He was efficient at Clemson and has a chance to stick in the right situation as a floor-spacer who might be able to hold his own defensively. -- Jeremy Woo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ESPN","Jordan Walsh",2023,NA,NA,NA,NA,"Arkansas","ARK",NA,NA,NA,"May 31, 2023 Walsh, the No. 39 prospect in ESPN's draft projections, improved his standing with teams at the draft combine by posting 15 points, 13 rebounds and 10 assists in 40 minutes of action while demonstrating impressive defensive versatility with his 7-foot-2 wingspan. Walsh averaged 7.1 points, 3.9 rebounds and 1.1 steals in 24 minutes per game at Arkansas as a freshman. He helped the Razorbacks to the NCAA tournament's Sweet 16, defeating No. 1 overall seed Kansas and losing to eventual national champion UConn. At 19 years old, featuring elite physical tools and the ability to guard point guards through power forwards, he still has considerable room to improve his jump shot, and his overall offensive game continues to gain consistency. -- Jonathan Givony ","The Celtics acquired the No. 38 pick and a future second-rounder from the Sacramento Kings in exchange for the No. 34 pick in Thursday's draft. Player fitWalsh is very much a work in progress as a player but offers an active motor and strong measurables at 6-7 with a nearly 7-2 wingspan. His frame and defensive upside intrigued some teams, but his offensive game is pretty far off right now, primarily relying on hustle plays and the occasional open jumper. Walsh is a good athlete and offers some tools to work with, but this is a long-term development pick for Boston.-- Jeremy Woo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ESPN","Mouhamed Gueye",2023,NA,NA,NA,NA,"Washington State","WSU",NA,NA,NA,"March 9, 2023  Gueye is faced with the tall task of winning four games in four days to secure a spot in the NCAA tournament, but NBA scouts will be encouraged by the progress he has shown as a sophomore, something he can continue to build on with a strong Pac-12 tournament. The 7-footer with a 7-4 wingspan is one of the most explosive players in college, and he has been able to show more wrinkles this season as the focal point of Washington State's offense, be it creating for himself or others while facing the basket, in the post, as a roller, running the floor or crashing the offensive glass. Gueye's lack of strength, average feel for the game and limitations as a perimeter shooter and decision-maker still need to be ironed out, and there are questions about which position he's best suited guarding considering he weighs just 203 pounds, things that might ultimately cause him to return for another season. -- Jonathan Givony","This is the fourth Charlotte selection, and rival teams suspected the Hornets would move some of them on draft night. Boston wound up making this pick after moving back with the Hornets from No. 31. Player fit Gueye's athleticism and flashes of perimeter shooting and skill make him an interesting second-round project pick. He measured in over 6-10 barefoot at the combine and came off a productive season at Washington State, where he wasn't always consistent but turned in a handful of impressive performances. The profile here is enough to warrant a flier for the Celtics. -- Jeremy Woo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
