source,name,year,rank,round,date_of_birth,age,current_team,league,scouting_report,team_fit,likely_to_play,position,city,team,analysis
ESPN,Danila Yurov,2022,NA,NA,12/22/03,NA,Magnitogorsk,RUSSIA,,"In the weeks leading up to the draft, there was a ton of speculation about where the two Russian players projected in the first round would end up. Ivan Miroshnichenko went to the Capitals at No. 20. Danila Yurov, the other top prospect, ends up going at No. 24 to the Wild. He's a strong finisher with good goal-scoring instincts, one who sees the ice well and protects the puck. Had he gotten more minutes in the KHL, and with a different international relationship with Russia, Yurov could have been a top-10 pick. -- Wyshynski",,NA,NA,NA,NA
ESPN,Sam Rinzel,2022,NA,NA,6/25/04,NA,Chaska,HIGH-MN,,"Not to put too fine a point on the scope of the Blackhawks' rebuild, but they used the 25th pick on a high school player. OK, Rinzel also played for the Waterloo Black Hawks of the USHL along with his 27 games with Minnesota's Chaska High School Hawks. Rinzel is 6-4, a smooth skater and has a right-hand shot. But he's a total project for a team that's obviously thinking long term. -- Wyshynski",,NA,NA,NA,NA
ESPN,Filip Mesar,2022,NA,NA,1/3/04,NA,Poprad,SLOVAKIA,,"The Slovakian NHL draft revolution continues! Mesar has two seasons of pro experience playing in the Slovak pro league, scoring 16 points in 37 games last season. He has a ton of playmaking ability and straight-line speed. He could use a bit more strength to avoid getting knocked off the puck, but you have to catch him to hit him. A bit of a reach, but one that makes sense as a high-ceiling prospect. -- Wyshynski",,NA,NA,NA,NA
ESPN,Filip Bystedt,2022,NA,NA,2/4/04,NA,Linkoping Jr.,SWEDEN-JR.,,"Another center with size goes in the first round. Bystedt was projected to be a late first-round selection due to his 6-2 frame. He has a strong all-around game at both ends of the ice and a better-than-average wrist shot. What he lacks now is using that size in the attacking zone, where he tends to play more on the periphery than around the net. Given his size, that needs to change at the next level. He's got time, having played only 16 games as a pro in the SHL. -- Wyshynski",,NA,NA,NA,NA
ESPN,Jiri Kulich,2022,NA,NA,4/14/04,NA,Karlovy Vary,CZREP,,"Buffalo had three first-round selections on Thursday, and used them all on highly skilled forwards. Kulich spent the past season with Karlovy Vary HC (Czech Republic) and handled himself well, notching nine goals and 14 points in 49 games. Kulich's real coming-out party was at the 2022 under-18 championship, where his nine goals led the field. He's got some flash, a blistering one-timer and plays a responsible game. Sabres GM Kevyn Adams was clearly targeting a certain type of player with which to stock Buffalo's cupboards. Kulich's versatility and developing talent make him an intriguing player for the future. -- Shilton",,NA,NA,NA,NA
ESPN,Maveric Lamoureux,2022,NA,NA,1/13/04,NA,Drummondville,QMJHL,,"Oilers GM Ken Holland and Coyotes GM Bill Armstrong had a long conversation earlier in the draft, and perhaps this was the result: Arizona acquired this pick and used it on the towering Maveric Lamoureux. This 6-7 defenseman has surprising mobility, but is very much still a project. He shoots the puck a lot, but needs refinement in a lot of other facets of his game. Still, this is a good addition for a Coyotes team that can afford to wait on him. Perhaps even better news for the Arizona State University basketball team if it is looking for a low-post presence in its scrimmages. -- Wyshynski",,NA,NA,NA,NA
ESPN,Brad Lambert,2022,NA,NA,12/19/03,NA,Pelicans,FINLAND,,"And just like that, the Brad Lambert Watch is over. The center was the wild card of the draft. At one point, he was a seen as a top-three pick. Then he struggled with JYP of Liiga, moved to the Lahti Pelicans and then struggled there too -- four goals in 49 games in total between both teams. But his skill is incredible, especially his speed, which makes him aesthetically perfect for a team named the Jets, one imagines. If he can ever put the total package together, he has some elite facets to his game. But consistency has not been a virtue. His junior rights were recently acquired by WHL Seattle. -- Wyshynski",,NA,NA,NA,NA
ESPN,Isaac Howard,2022,NA,NA,3/30/04,NA,US U-18,NTDP,,"Howard finally came off the board at No. 30, a little later than maybe was expected for a player of his talent. The left winger was dynamic this past season, tallying 33 goals and 82 points in 60 games, and is generally good with the puck at both ends of the ice. Howard is deceptive on the ice, with a good burst of speed and finishing ability around the net. Plus, if the white suit he rocked at the draft was any indication, the kid's got some personality to wield, too. And he'll be bringing that swagger to Tampa Bay -- on and off the ice. -- Shilton",,NA,NA,NA,NA
ESPN,Reid Schaefer,2022,NA,NA,9/21/03,NA,Seattle,WHL,,"The first round ends with the Oilers, having moved down following Zack Kassian's trade to the Coyotes, selecting another big-bodied winger. Schaefer skates well, and goes to the net hard. He landed on the radar for a lot of teams after an outstanding season with the WHL Seattle Thunderbirds (58 points in 66 games) to go along with that physicality. Not a bad player to add to the forward prospect pool for the Oilers. -- Wyshynski ",,NA,NA,NA,NA
ESPN,Connor Bedard,2023,NA,NA,7/17/05,NA,Regina,WHL,,"There's a reason why this was colloquially known as the ""Bedard Draft."" Bedard is considered by several evaluators as a generational talent. He gives the rebuilding Blackhawks a playmaking center who is also prolific. The 17-year-old scored 71 goals and 143 points for the Regina Pats in the WHL this season. Everything Bedard provides is why there is a belief he can be the face of a new Blackhawks era with the club entering its first season without Patrick Kane and Jonathan Toews for the first time since 2007. -- Wyshynski",,NA,NA,NA,NA
ESPN,Leo Carlsson,2023,NA,NA,12/26/04,NA,Orebro,SWEDEN,,"Getting a center was a priority for the Ducks, who had a number of options. They surprised a number of people by taking Leo Carlsson. The 6-foot-3 center showcased his skills across all levels in 2022-23 by playing for Orebro in the SHL, the highest division of Swedish hockey and when he represented Sweden in various international competitions. The hulking two-way center adds to what was an already promising nucleus that has Jamie Drysdale, Mason Marchment, Troy Terry and Trevor Zegras. -- Wyshynski",,NA,NA,NA,NA
ESPN,Adam Fantilli,2023,NA,NA,10/12/04,NA,Michigan,BIG10,,"Columbus absolutely needed a player like Adam Fantilli -- and Anaheim's surprising selection of Leo Carlsson at No. 2 left Fantilli at the Blue Jackets' feet. Fantilli -- a standout freshman at the University of Michigan and the reigning Hobey Baker winner as the NCAA's top men's hockey player -- is an imposing center who will immediately make Columbus more dangerous down the middle (assuming, of course, he decides to leave the college scene). Regardless of when Fantilli slots in, he'll be able to drive his own line, elevate teammates and generate consistent production across the board. He already put together a 65-point season for the Wolverines. What would his NHL output look like out of the gate? After the bitterly disappointing season the Blue Jackets just endured, they have to hope that answer comes sooner than later. -- Shilton",,NA,NA,NA,NA
ESPN,Will Smith,2023,NA,NA,3/17/05,NA,USA U-18,NTDP,,"The first thing we can recognize about Will Smith -- a center from the U.S. National Team Development program -- is he's got a healthy sense of humor: The Sharks' draftee chose as his walk-out song after being selected the theme song to -- naturally -- ""The Fresh Prince of Bel Air."" Gotta appreciate that. What San Jose will appreciate is the high-end skill set Smith brings to its ranks. A smart two-way center, Smith is a gifted puck handler and primetime playmaker who can make skaters around him better and contribute on special teams, particularly in a penalty killing role. And given the rebuilding mode San Jose has been through in recent years the promise of what Smith will eventually add on a regular basis has to be truly exciting. Smith is a spark plug who should eventually be a top-line skater for the Sharks. -- Shilton",,NA,NA,NA,NA
ESPN,David Reinbacher,2023,NA,NA,10/25/04,NA,Kloten,SWISS,,"We finally have a defenseman off the board! And -- fun fact -- Reinbacher was plucked in the same No. 5 spot as fellow Austrian Thomas Vanek was in 2003. The 18-year-old Reinbacher -- a right-shot blueliner -- played last season with Switzerland's top professional league team HC Kloten and excelled with ample opportunity in a productive season (three goals, 22 points in 46 games, the most points by a draft-eligible player in that league's history). Reinbacher was rolled out in every situation for Kloten, and that bodes well for Montreal, who can add Reinbacher to their growing stable of burgeoning young talents that will carry the franchise forward for seasons to come. While Reinbacher will remain overseas for the coming season with school obligations to fulfill, there should be plenty of runway ahead for him in the NHL. -- Shilton",,NA,NA,NA,NA
ESPN,Dmitriy Simashev,2023,NA,NA,2/4/05,NA,Yaroslavl Jr.,RUSSIA,,"The Coyotes took the Russian. No, not that Russian. With phenom Matvei Michkov still available, Arizona swerved and selected defenseman Dmitriy Simashev of Lokomotiv Yaroslavl in the KHL. The 18-year-old is 6-foot-4 with great skating ability and speed. He played 18 games in the KHL last season in addition to 33 in the lower-level MHL. He's a physical presence on whom the Coyotes can wait. Obviously, they're a team that has needs in every area. A surprise, as many mock drafts had him going outside the top 10. But GM Bill Armstrong has earned the benefit of the doubt as a draft expert. -- Wyshynski",,NA,NA,NA,NA
ESPN,Matvei Michkov,2023,NA,NA,12/9/04,NA,SKA St. Petersburg,RUSSIA,,"This is excellent for the Flyers. Might it be the steal of the draft? The Russian winger is signed in the KHL through the 2025-26 season though, which would give rebuilding Philadelphia time to prepare for Michkov to eventually be a prime factor in their offense. He certainly has the potential. Michkov is a skilled winger who is creative with the puck, has an excellent shot, is strong around the net and possesses a distinct slippery quality that makes him hard to contain all over the ice. Last season with the KHL's Sochi HC, Michkov put up nine goals and 20 points in 27 games. Not bad for an 18-year-old, right? The Flyers could have just made a franchise-altering choice in Nashville. -- Shilton",,NA,NA,NA,NA
ESPN,Ryan Leonard,2023,NA,NA,1/21/05,NA,USA U-18,NTDP,,"Washington lands itself a power forward out of the NTDP. Leonard is no stranger to big moments -- he scored the overtime game-winner for Team USA to secure a gold medal for his nation at the most recent U18 tournament -- and seems to shine in every situation. Leonard boasts a hard, accurate shot, and has a similarly hard-nosed approach to his work ethic, hounding pucks and laying hits. There's a deceptiveness in Leonard's game that makes him hard to track, and a pair of dangerous hands helped him pump in 11 goals and 20 points in 17 tournament games last season. That combination of size, skill and grittiness should translate well for Leonard in Washington, and what should be a projected top-six forward role. -- Shilton",,NA,NA,NA,NA
ESPN,Nate Danielson,2023,NA,NA,9/27/04,NA,Brandon,WHL,,"The Red Wings went with another skilled forward in Danielson. A standout with the WHL's Brandon Wheat Kings, Danielson put up 33 goals and 78 points in 68 games last season. He's a particularly strong player off the rush and gains speed entering the zone to throw defensemen into a spin cycle. Danielson's strong skating allows him to get creative attacking the zone and finding holes. -- Shilton",,NA,NA,NA,NA
ESPN,Dalibor Dvorsky,2023,NA,NA,6/15/05,NA,AIK,SWEDEN,,"The Blues select a player in Dvorsky who should immediately be one of their organization's top prospects. The 18-year-old has been playing against top European talents with AIK of the Swedish League, adding six goals and 14 points in 38 games last season. A smart two-way center, Dvorsky has good vision, slick hands and an attack-first mentality that allowed him to set up teammates quickly. Dvorsky handles pressure well and doesn't often appear overwhelmed. He'll add plenty for St. Louis when the time comes for him to arrive in North America. -- Clark",,NA,NA,NA,NA
ESPN,Tom Willander,2023,NA,NA,2/9/05,NA,Rogle Jr.,SWEDEN,,"The Canucks had a number of organizational needs given they entered the draft with what's considered to be one of the weaker farm systems. Drafting Willander, who was something of a late riser entering the draft, gives them a young defenseman that could someday be part of a blue line that features Filip Hronek and Quinn Hughes. Willander had four goals and 25 points playing in the J20 Nationell, the highest division of junior hockey in Sweden. His transition to the North American game will begin next season when he enrolls at Boston University. -- Clark",,NA,NA,NA,NA
ESPN,Danil But,2023,NA,NA,2/15/05,NA,Yaroslavl Jr.,RUSSIA,,"Having drafted Simashev, the Coyotes once again returned to Russia by selecting But. Practically every conversation about But starts with his imposing size, with the 18-year-old standing at 6-foot-5 and weighing 203 pounds. His arrival gives the Coyotes, who are thought to have one of the stronger farm systems, another potential high-end forward. Daniil spent most of the season in the MHL, which is the top Russian junior league. He scored 15 goals and 26 points in 26 games with Loko Yaroslavl. The expectation is that he will spend next season playing against older and more physically developed competition for Lokomotiv Yaroslavl in the KHL. -- Clark Get exclusive access to thousands of premium articles a year from top writers.",,NA,NA,NA,NA
ESPN,Zach Benson,2023,NA,NA,5/12/05,NA,Winnipeg,WHL,,Drafting and/or developing forwards with promise and upside has been one of the hallmarks of the Sabres' rebuild. It appears that Benson has a chance to be the latest forward who could join that group. Just look at what he accomplished in his second full season. Benson went from 25 goals and 63 points in 58 games in his first year to bursting through to score 36 goals and 98 points in 60 games with the Winnipeg Ice. Benson has been a massive part of the Ice's playoff success as he has combined to score 16 goals and 40 points in 30 postseason contests over the last two seasons. -- Clark,,NA,NA,NA,NA
ESPN,Brayden Yager,2023,NA,NA,1/3/05,NA,Moose Jaw,WHL,,Adding high-end talent to a farm system in need of it is what made selecting Yager so alluring for the Penguins. He's shown gradual improvement through his first two-plus seasons with the Moose Jaw Warriors. Yager went from 34 goals and 59 points in his first full season to 28 goals and 78 points in his second campaign. Then there's what he did in the WHL playoffs. Yager was one of the more dominant postseason performers with six goals and 16 points in 10 games. -- Clark,,NA,NA,NA,NA
ESPN,Matthew Wood,2023,NA,NA,2/6/05,NA,UConn,H-EAST,,"Nashville adds impressive size with Wood, a towering winger from the University of Connecticut. The 18-year-old is coming off a nearly point-per-game campaign (11 goals and 34 points in 35 games last season) and he'll continue to develop at the NCAA for at least a couple more years before the Predators pull him up to the NHL ranks. But Wood is an enticing long-term prospect once he learns to use his body to his advantage and can challenge at the professional level while wielding the same skill he's shown already as a college freshman. -- Shilton",,NA,NA,NA,NA
ESPN,Samuel Honzek,2023,NA,NA,11/12/04,NA,Vancouver,WHL,,"The Flames have a solid north-south prospect in Honzek, with potential to be a complementary player within their top-six down the road or even in a third-line shutdown role. The 6-foot-4 winger had a great season with the WHL's Vancouver Giants last year pocketing 23 goals and 56 points in 43 games. But it's not just Honzek's nose for the net that's appealing; he protects the puck well, can change direction on a dime and maximizes body position to be a threat throughout the offensive zone. The more Honzek can keep growing into his body and continue to grow at both ends of the ice, the better for Calgary. -- Shilton",,NA,NA,NA,NA
ESPN,Axel SandinPellikka,2023,NA,NA,3/11/05,NA,Skelleftea Jr.,SWEDEN,,"Steve Yzerman and Co. went for a true offensive defenseman prospect in Pellikka. Considered by some scouts to be the best blueliner available in the draft, Pellikka fits into what the Red Wings ultimately want to be, which is a deep skill team. Pellikka is often compared to Kris Letang -- he's dangerous with the puck on his stick with the shot and vision to match. But Pellikka is a solid defender around his own net and along the boards, too. Detroit may not be in a win-now position, but by the time Pellikka is joining their bench the Red Wings should be fully ready to benefit from his two-way contributions. -- Shilton",,NA,NA,NA,NA
ESPN,Colby Barlow,2023,NA,NA,2/14/05,NA,Owen Sound,OHL,,"The Jets go with an old school-type choice in Barlow. Brimming with intangibles and boasting a great one-timer, Barlow had an incredible year with the OHL's Owen Sound Attack last year (46 goals and 79 points in 59 games). At 18, Barlow was the youngest captain in Attack history, a nod to those leadership skills that make Barlow an even more intriguing prospect for the Jets' system. Barlow is willing to go where other players aren't -- the ""dirty areas"" if you will -- but he's bringing so much offensive upside with him, from excellent anticipation and playmaking to a special way of simply reading the ice. Winnipeg has to expect Barlow's game will transition well into an important role with their team once he's finished developing a little further. -- Shilton",,NA,NA,NA,NA
ESPN,Oliver Moore,2023,NA,NA,1/22/05,NA,USA U-18,NTDP,,"Chicago already got Connor Bedard. Now they've landed one of the best -- if not the best -- skaters available in this draft. Moore wasn't a top line forward with the U.S. National Team Development program, but that speed still allowed him to be a dynamic presence. The way he can accelerate, enter the zone and get a shot off with enviable speed is what makes Moore a special prospect. His skill set brings to mind another USNTD product -- Detroit captain Dylan Larkin -- and the fact Moore generates the way he does without necessarily being surrounded by the best players on his wing bodes well for his future. -- Shilton",,NA,NA,NA,NA
ESPN,Eduard Sale,2023,NA,NA,3/10/05,NA,Brno,CZECHIA,,"Seattle prioritizes its depth over being particularly flashy, and Sale definitely fits that bill. He's a solid, responsible player all around who can add offensively. Sale had seven goals and 14 points in 43 games with the Czech league's Brno Kometa last season, but his greatest strength might be as a playmaker. Sale sees the ice well and finds teammates quickly with a pass-first mentality and light touch with the puck. The Kraken could likely see Sale slotting into a number of different spots, from a top-six spot or even a larger supporting role on their third line. Ultimately Sale works well with others, and that's the collective mindset GM Ron Francis has been cultivating for the Kraken. -- Shilton",,NA,NA,NA,NA
ESPN,Charlie Stramel,2023,NA,NA,10/15/04,NA,Wisconsin,BIG10,,"The first knock on Stramel is that he's coming off a difficult freshman season at the University of Wisconsin (he tallied just five goals and 12 points in 33 games). However, there is a good deal of upside here. He's a big center (6-foot-3, 212 points) with enough grit to his game that he can be a challenge to contain, especially under pressure. At his best, Stramel excels in tight on a goaltender and can pull off the little plays that add up to pay big dividends on the scoresheet. Plus he can elevate linemates and shows signs of being a consistent playmaker. If Stramel was underwhelming as a college newcomer, it only proves there's room for him to continue growing -- and that's what Wild GM Bill Guerin is banking on. -- Shilton",,NA,NA,NA,NA
ESPN,Oliver Bonk,2023,NA,NA,1/9/05,NA,London,OHL,,"Philadelphia grabbed a dynamic scoring threat in Michkov. Now, the Flyers go with the classic shutdown defensive prospect with Bonk. He backtracks well, protects the puck, forces opponents into turnovers and really just showcases a simple game on the blue line. At 6-foot-2, Bonk can push skaters to the outside and allow his goaltender to see the puck. There's offensive upside for Bonk too; he had 10 goals and 40 points in 67 games with the OHL's London Knights last season, and put up exceptional puck possession numbers, especially in the postseason. Bonk will be a stabilizing force on the Flyers' back end when he's prepared to make the NHL jump. -- Shilton Get exclusive access to thousands of premium articles a year from top writers.",,NA,NA,NA,NA
ESPN,Gabriel Perreault,2023,NA,NA,5/7/05,NA,USA U-18,NTDP,,"The Rangers snagged Perreault lower than he was projected to go. But for New York, he was the definition of best available. Perreault has faced criticism for his skating and speed, but he's got a wide-ranging skill set that starts with a high hockey IQ that makes him deceptive and able to make plays all over the offensive zone. Perreault had a wildly productive season with the NTDP last season. Like most young players, Perreault will need to improve his defensive skills over time, but the bones of his game are strong. Plus, Perreault's father Yanick played 859 NHL games, so his son certainly has a strong sounding board on how to translate what he already does well to the NHL level. -- Shilton",,NA,NA,NA,NA
ESPN,Tanner Molendyk,2023,NA,NA,2/3/05,NA,Saskatoon,WHL,,"Nashville went slightly off the board with Molendyk, a puck-moving defenseman with some high-end potential with continued growth. Molendyk is a great skater who won't be outworked by speedier opponents. At 5-foot-11, Molendyk isn't the biggest blueliner, but he'll still land a hit and doesn't back down when pushing forwards to the outside in his own end. There's plenty of precision in Molendyk's stick work, too. Over time he'll hone and refine those skills to be a more well-rounded NHLer for the Predators. -- Shilton",,NA,NA,NA,NA
ESPN,Otto Stenberg,2023,NA,NA,5/29/05,NA,Frolunda Jr.,SWEDEN,,"St. Louis goes for a steady possession player in Stenberg. He didn't come up with much offense last season playing against men with Frolunda HC of the Swedish League, but Stenberg projects to be more a defensive-minded, two-way forward for the Blues to potentially use in bottom-six role as opposed to a flashier top-line spot. Stenberg has a warrior mentality to him, and that grittiness can come in handy to have throughout a team's ranks. -- Shilton",,NA,NA,NA,NA
ESPN,Quentin Musty,2023,NA,NA,7/6/05,NA,Sudbury,OHL,,"There is a jack-of-all-trades quality to Musty. He came up with the OHL's Sudbury Wolves with excellent output (26 goals and 78 points in 53 games last season) and has been a little of everything -- playmaker, goal-scorer, and savvy on defense with vision off the rush. Musty is strong along the boards dislodging pucks, and works well in transition. The Sharks have to keep restocking the cupboards to eventually become contenders again, and Musty projects to be a forward they can roll out in a number of roles when the time comes for his NHL debut. -- Shilton",,NA,NA,NA,NA
ESPN,Calum Ritchie,2023,NA,NA,1/21/05,NA,Oshawa,OHL,,"The Avalanche might have another sleeper hit on their hands with Ritchie. The 18-year-old worked through a shoulder injury last season that limited his game, but Ritchie still produced at a point-per-game pace with the OHL's Oshawa Generals. Ritchie is a smart player -- he anticipates an opponent well, and can react accordingly (and quickly) to make something happen for himself or a teammate. When healthy, there aren't a ton of gaping holes in Ritchie's skill set. He could give Colorado a talent down the road that far outpaces where Ritchie was ultimately selected in this draft. -- Shilton",,NA,NA,NA,NA
ESPN,Easton Cowan,2023,NA,NA,5/20/05,NA,London,OHL,,"Toronto takes another London Knight off the board with Cowan, who kept improving throughout last season (he finished with 20 goals and 53 points in 68 games). Cowan is strong in transition, and can compete with high-end skaters off the rush. His intelligence and creativity will create opportunities others don't necessarily see. While Cowan might not have been one of the highest rated skaters coming into this draft, he certainly impressed the Leafs' scouts enough to make him a first-round choice, who will continue to develop through their program. -- Shilton",,NA,NA,NA,NA
ESPN,Theo Lindstein,2023,NA,NA,1/5/05,NA,Brynas,SWEDEN,,"St. Louis had multiple first-round picks, and Lindstein is the true slow burner of their three-man haul. He's an 18-year-old, left-shot blueliner who is not easily rattled and moves the puck well. Lindstein boasts a simple, straightforward sort of game, offering stability and strength on the back end without taking many risks. So far, Lindstein hasn't shown a great offensive upside (he grabbed just two points in 32 games with Sweden's Brynas Galve last season), but that didn't turn St. Louis off. It'll be years before the Blues see Lindstein taking on a role of any significance, but with patience he could be a solid player. -- Shilton",,NA,NA,NA,NA
ESPN,Bradly Nadeau,2023,NA,NA,5/5/05,NA,Penticton,BCHL,,"This pick brings a real playmaking forward into the Hurricanes' organization. Nadeau -- who is committed to the University of Maine -- has a brilliant shot that helped him produce 45 goals and 113 points in 54 games with the BCHL's Penticton Vees last season. Nadeau is able to create chances off the rush and is deceptive in how he moves around the ice; he makes the most of any opportunity. Nadeau will benefit from the NCAA experience to show that he can compete against increasingly difficult competition, but Carolina knows the work ethic and pure talent is already there. -- Shilton",,NA,NA,NA,NA
ESPN,Mikhail Gulyayev,2023,NA,NA,4/26/05,NA,Omsk Jr.,RUSSIA,,"Colorado selected an undersized blueliner here, but what the 18-year-old lacks in that respect he makes up for in other aspects of his well-rounded game. Gulyayev is a great skater, he's got good gap control and doesn't shy away from challenging an opponent (of any size). Gulyayev has a strong stick and can create turnovers, which makes him dangerous at both ends of the ice. He put up two goals and 25 points in 22 games last season with Russia's Omskie Yastreby, and Colorado can take its time helping Gulyayev keep growing into himself amid their stockpile of defensive prospects. -- Shilton",,NA,NA,NA,NA
ESPN,David Edstrom,2023,NA,NA,2/18/05,NA,Frolunda Jr.,SWEDEN,,"Vegas gets a well-rounded forward in 18-year-old Edstrom. He's a gamer; Edstrom chases down pucks, boasts a strong work ethic at both ends of the ice and can really do it all. Edstrom distributes the puck well to teammates, and can add offensively in his own right. What Vegas also has to like is the way Edstrom supports on the defensive side, and can cover up on the back end. He's not flashy, but Edstrom can do a multitude of things very well. That's got to be appealing long term for the reigning Stanley Cup champions. -- Shilton ",,NA,NA,NA,NA
ESPN,Macklin Celebrini,2024,NA,NA,6/13/06,NA,Boston University,H-EAST,"There is no area of the game where legitimate concerns exist. Simply put, he does not have a weak point. He excels as a length of the ice player, making significant contributions on both ends. Offensively, he navigates the middle of the ice, disrupts defensive schemes and finds passing lanes that others cannot. His puck protection skills, willingness to play through contact, spin off defenders and maintain play are qualities that will translate well to the NHL. Even without the puck, he remains a scoring threat due to his ability to find open spaces, keeps his stick away from defenders and releases the puck quickly. -- Doerrie Team fit: Rebuilds require cornerstone players. Celebrini appears to be just that, considering this year's draft was commonly referred to as ""The Celebrini Draft."" Finishing with the NHL's worst record meant the Sharks had a number of areas that needed to be addressed. Among them: top-six forward help. Enter Celebrini.","While the possibility exists that Celebrini could return to BU for his sophomore year, he could step right in to the Sharks' lineup. Since 2005, the forwards who were selected with the No. 1 pick played the next season. It's a list that includes Sidney Crosby, Nathan MacKinnon, Auston Matthews, Connor McDavid and last year's No. 1 pick, Connor Bedard. Furthermore, Celebrini now officially becomes the face of a promising rebuild that already had Thomas Bordeleau, William Eklund, Mario Ferraro, Quinten Musty and the team's 2023 first-round pick in Will Smith, who is leaving Boston College after one season after signing his entry-level contract with the Sharks. -- Clark",,NA,NA,NA,NA
ESPN,Artyom Levshunov,2024,NA,NA,10/28/05,NA,Michigan State,BIG10,"The Belarusian is widely regarded as the best defender in the draft class, impressing scouts in many areas. A right-shot defenseman, he imposes himself physically and dictates offensive play. His rapid development has led scouts to believe he could quickly become an impactful two-way defenseman in the NHL. He excels at making good first passes, finding shooting lanes and taking control of the game from the blue line. Though still raw defensively, he has tremendous upside due to his physical attributes, excellent skating ability and high puck battle success rate. Consistently engaged and a play driver at both ends of the ice, he has the potential to shift momentum. Levshunov could become a top-pairing defenseman who dictates play in transition and tilts the ice in his team's favor. -- Doerrie Team fit: The Blackhawks found their next foundational player atop last year's draft in forward Connor Bedard, who won the Calder Trophy as the NHL's Rookie of the Year on Thursday. But they also had to strip down their team to the foundations to get him. The duration of the rebuild around Bedard is entirely contingent on the players with whom they surround him. To that end, Levshunov is a huge addition, literally and figuratively.","The Blackhawks have some intriguing young defenseman in their system, but not enough of them. Kevin Korchinski played 76 games as a rookie last season and has some upside. Wyatt Kaiser split time between the Blackhawks and AHL Rockford. Sam Rinzel, selected 25th overall in 2022, had an outstanding first season with the University of Minnesota. But what they have in Levshunov is, for lack of a better label, ""The Guy."" The giant blueliner who could be their Victor Hedman. Those dynastic Lightning teams were built on offensive stars such as Steven Stamkos and Nikita Kucherov, but they won Cups thanks to the efforts of Hedman on the back end. This draft could be looked back on as an essential moment of the Bedard era in Chicago. -- Wyshynski Check out the plays that helped make Michigan State's Artyom Levshunov one of the top prospects in the NHL draft.",,NA,NA,NA,NA
ESPN,Beckett Sennecke,2024,NA,NA,1/28/06,NA,Oshawa,OHL,"Offensively, it is difficult to find a weakness. He is a dual-threat menace in the offensive zone and dropped more jaws in one-on-one play than any other draft-eligible player in the OHL this season. His ability to force defenders into bad spots and manipulate his way around them is terrifying. Not only is he a threat in tight situations, but he's also a threat in transition. The puck follows him around the ice, and he slices defensive coverage with ease through excellent reads, decisive passing and a quality shot. Off the puck, he uses his awareness to win pucks back. As the season progressed, he became a nightmare on the forecheck, routinely hemming players in and winning pucks back. For lack of a better word, he's a gamer. If he wants the puck, he's more than likely going to end up with it. He's not an elite skater, but he gets to where he needs to go, plays two steps ahead of his peers and makes his teammates better. There are teams that have him in their top five, and while that is a little high for me, it is easy to understand why scouts believe Sennecke could be a top-line player. -- Doerrie Team fit: Once again, Ducks general manager Pat Verbeek went in a bit of an unexpected direction by taking Sennecke. The Ducks were in a bit of a tricky situation when it came to adding to their rebuild. Not that they couldn't have used more forwards, but they already have quite a bit of youth with Leo Carlsson, Cutter Gauthier, Mason McTavish, Troy Terry and Trevor Zegras. The same holds true with defensemen of course, with Jackson LaCombe and Pavel Mintyukov playing as rookies last season and another defenseman, Olen Zellweger, getting nine points in 26 games with the Ducks after spending the majority of the year in the AHL with the San Diego Gulls.","Now that they've added Sennecke, the Ducks have another top-six forward with size as the 6-foot-2 Sennecke will be a player who gives the Ducks another option in their attack. -- Clark Beckett Sennecke is chosen by the Anaheim Ducks with the No. 3 pick in the 2024 NHL draft.",,NA,NA,NA,NA
ESPN,Cayden Lindstrom,2024,NA,NA,2/3/06,NA,Medicine Hat,WHL,"Lindstrom combines speed, size and skill, making him a dominant force at the junior level. He effectively uses his frame to protect the puck, wins battles and plays through contact in challenging areas of the ice. His physical package and skating ability make him a formidable opponent on the rush and in puck battles. If he continues to develop his ability to play through contact, he has the tools to be an excellent power forward at the NHL level. His speed in transition keeps defensemen on their heels and he changes gears to create space. Without the puck, he reads off his linemates well and finds open pockets of space. As a versatile offensive player, he knows when to use his physicality to create scoring chances or hold the puck to set up plays in the offensive zone. Although his injury history is a concern, projections indicate that Lindstrom could become a second-line center with the potential to score 70 points over a long period. He may take longer to develop, but a player with his toolbox is intriguing to many teams. -- Doerrie Team fit: This is the first Blue Jackets draft since 2012 that didn't have Jarmo Kekalainen running the table. He was dismissed as general manager earlier this season, creating an opening for one of the NHL's most interesting jobs. Columbus is a place where the bar for success is low and the talent in the prospect pool is high.","It just got higher. New GM Don Waddell, who took over the Blue Jackets after leaving the Carolina Hurricanes, had a number of options after the Ducks shocked the draft by taking Beckett Sennecke third overall. They fought some temptation and added Lindstrom. The Medicine Hat center joins center Adam Fantilli, the third overall pick in 2023 who had 27 points in 49 games this season; Kent Johnson, another Michigan alum, who is entering his fourth NHL season; and the big body and booming shot of defenseman David Jiricek as the next generation of the Blue Jackets. With Cole Sillinger also up the middle, the days of the Blue Jackets being the NHL's donut -- nothing in the middle -- appear over. -- Wyshynski",,NA,NA,NA,NA
